rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
8,-1,OLD,20259781,토이 스토리 5,2026-06-17,24128200,0.4,-1860550,-7.2,30146318860,2665,-103,-3.7,2932987,148,154,2026-08-06,2026-08-09 10:17:34
9,0,OLD,20262902,다윗,2026-07-10,14737500,0.2,2016900,15.9,2649418290,1607,217,15.6,272490,77,81,2026-08-06,2026-08-09 10:17:34
10,-2,OLD,20259946,모아나,2026-07-08,13807550,0.2,-6151710,-30.8,10789262180,1536,-789,-33.9,1017658,106,113,2026-08-06,2026-08-09 10:17:34
1,0,OLD,20250654,오디세이,2026-08-05,3489234370,47.2,817060500,30.6,9327393480,310154,63934,26.0,851451,1624,5001,2026-08-07,2026-08-09 10:17:33
2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2994369040,40.5,626498930,26.5,51709619350,286589,48525,20.4,4933991,1748,6078,2026-08-07,2026-08-09 10:17:33
3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,383969450,5.2,-2377930,-0.6,1747908430,41689,-2079,-4.8,186032,821,1797,2026-08-07,2026-08-09 10:17:33
4,0,OLD,20233219,호프,2026-07-15,322792460,4.4,60861910,23.2,46354328870,30795,3595,13.2,4323771,653,1130,2026-08-07,2026-08-09 10:17:33
5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,40067750,0.5,1379550,3.6,7502001440,4522,-124,-2.7,753211,259,279,2026-08-07,2026-08-09 10:17:33
6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,36250000,0.5,2766950,8.3,413315150,3505,85,2.5,41203,81,145,2026-08-07,2026-08-09 10:17:33
7,2,OLD,20262902,다윗,2026-07-10,25396950,0.3,10659450,72.3,2674815240,2671,1064,66.2,275161,75,79,2026-08-07,2026-08-09 10:17:33
8,0,OLD,20259781,토이 스토리 5,2026-06-17,23252890,0.3,-875310,-3.6,30169571750,2415,-250,-9.4,2935402,141,149,2026-08-07,2026-08-09 10:17:33
9,1,OLD,20259946,모아나,2026-07-08,15308450,0.2,1500900,10.9,10804570630,1570,34,2.2,1019228,91,97,2026-08-07,2026-08-09 10:17:33
